List of 100 random number (between 1 to 100): [87, 26, 39, 90, 77, 79, 4, 83, 50, 47, 11, 63, 37, 21, 72, 26, 19, 100, 60, 37, 7, 3, 5, 71, 54, 88, 7, 75, 24, 72, 83, 53, 17, 65, 62, 82, 70, 53, 41, 10, 49, 80, 34, 77, 17, 62, 59, 69, 56, 4, 60, 12, 64, 35, 24, 95, 12, 10, 42, 45, 44, 82, 94, 3, 61, 22, 77, 12, 89, 44, 14, 11, 86, 67, 51, 8, 43, 37, 15, 44, 10, 93, 31, 25, 87, 25, 45, 13, 88, 38, 57, 97, 15, 33, 72, 59, 59, 82, 88, 99, 3]

| While Adding  | While Subtracting |
|  Mean  |  SD  |   Mean   |   SD   |
| 58.200 |29.397|  58.200  | 29.397 |
| 51.400 |28.929|  51.400  | 28.929 |
| 47.800 |30.745|  47.800  | 30.745 |
| 49.250 |29.179|  49.250  | 29.179 |
| 49.540 |28.187|  49.540  | 28.187 |
| 47.933 |28.069|  47.933  | 28.069 |
| 48.629 |28.602|  48.629  | 28.602 |
| 47.250 |28.378|  47.250  | 28.378 |
| 47.056 |28.611|  47.056  | 28.611 |
| 48.960 |28.923|  48.960  | 28.923 |
